Date,return,S&P500,Interest_rate,net_value,cum_profit,benchmark,benchmark_return,Annu_return,algo_volatility,xret,ex_return,sharpe,IR,hit_rate,VaR,CVaR,max_drawdown_profit,max_drawdown_ret,max_drawdown_profit_start,max_drawdown_profit_end
2008-09-25,-0.01453363532053592,1209.180054,0.0376875,1.2068015809221535,33.13482332367761,0.802727193922172,0.01965650459011726,0.012330186148210022,0.29713481312311474,-0.01468438532053592,-0.03419013991065318,0.5259427643488043,0.7226103134938485,0.43729903536977494,0.3429003189914051,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-26,0.009844309523269597,1213.27002,0.0376188,1.2186817092179223,36.40951311867974,0.8054423618738401,0.0033824292639217596,0.012791028637849512,0.2967664780670674,0.009693834323269597,0.006461880259347837,0.5512016199692501,0.7322550304528929,0.4391025641025641,0.34149652823430987,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-29,0.11475921808809085,1106.420044,0.038825,1.358536669266029,75.82445327795239,0.7345088552208008,-0.08806776252494893,0.018565745079048082,0.3133552797000204,0.11460391808809085,0.20282698061303978,0.8138863754225564,1.0021851396284478,0.44089456869009586,0.3400927374772146,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-30,-0.009042138259315049,1166.359985,0.040525000000000005,1.3462525928721762,72.34441625573243,0.7743006302204161,0.054174670212319594,0.018049660401198316,0.3129859107881654,-0.009204238259315049,-0.06321680847163465,0.788710962822358,0.8958341198864102,0.4394904458598726,0.3386889467201193,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-10-01,0.0015607044287163899,1161.060059,0.0415,1.3483536952560429,72.88682527033978,0.7707822172992785,-0.00454398819246209,0.018070766271720867,0.31248575712090754,0.00139470442871639,0.00610469262117848,0.7910129822246774,0.9038589405451916,0.44126984126984126,0.33728515596302405,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-10-02,0.03380511923386563,1114.280029,0.042074999999999994,1.3939349526935967,85.34328948769064,0.7397267908644203,-0.04029079257130823,0.0197102427812167,0.31334175081337284,0.03363681923386563,0.07409591180517386,0.8716849560668759,1.0093514694863424,0.4430379746835443,0.33588136520592876,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-10-03,0.0035902544705628836,1099.22998,0.0433375,1.3989395338891786,86.69849303742114,0.7297356538437619,-0.01350652314347441,0.019827510707646087,0.31285093276176384,0.0034169044705628835,0.017096777614037294,0.8789405952911528,1.0336583269815853,0.444794952681388,0.3344775744488335,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-10-06,0.013013110385740113,1056.890015,0.0428875,1.4171440884666542,91.73542906924382,0.7016278123500309,-0.03851784046137476,0.020414033832576714,0.31253003672427393,0.012841560385740114,0.05153095084711488,0.9095226003561664,1.1069957967718815,0.44654088050314467,0.3330737836917382,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-10-07,0.007403904390605404,996.2299800000001,0.0432,1.427636487805373,94.61056379123613,0.6613579951977455,-0.05739484160042878,0.020717970855940217,0.3120837657814633,0.007231104390605404,0.06479874599103418,0.9262009684174201,1.1971708151017788,0.4482758620689655,0.3316699929346429,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-10-08,0.013634450427848267,984.9400019999999,0.0452375,1.4471015267273426,99.80808378637983,0.6538630217821625,-0.011332702515136356,0.021328822326558864,0.3117836281313501,0.013453500427848267,0.02496715294298462,0.9580563953230704,1.2321736428211867,0.45,0.33026620217754765,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-10-09,0.05477343941399051,909.919983,0.0475,1.5263642545274358,121.39103731309677,0.6040601746870201,-0.07616709530292788,0.023968557629123498,0.3148557210158303,0.054583439413990506,0.13094053471691838,1.0814128609393976,1.3949136484650957,0.4517133956386293,0.32886241142045236,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-10-10,0.023165096436524386,899.2199710000001,0.048187499999999994,1.5617226296808275,130.94245452550928,0.596956856550668,-0.011759288948377605,0.02503492453614908,0.3149434113228999,0.022972346436524387,0.03492438538490199,1.134646771356534,1.4421301546853456,0.453416149068323,0.3274586206633571,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-10-13,-0.008589733810242728,1003.349976,0.047525000000000005,1.548307848006437,127.1765149110825,0.6660846811788037,0.11580036960722695,0.024535388693879615,0.3145801993906634,-0.008779833810242728,-0.12439010341746967,1.1107156283238493,1.229886434704854,0.4520123839009288,0.3274085523789965,0.47770773563672575,89.11801185361583,0.22433839365458672,,
2008-10-14,0.002584033795485968,998.01001,0.046349999999999995,1.5523087278115015,128.18081848236767,0.6625396872726936,-0.005322136968885574,0.02458592049892311,0.3140926539177912,0.0023986337954859677,0.007906170764371542,1.1149110252753496,1.239275192263383,0.4537037037037037,0.32735848409463597,0.47770773563672575,89.11801185361583,0.22433839365458672,,
